Source,Target
54971236771,1724755084422910
54971236771,631116826990989
54971236771,79209882917
54971236771,1398327333755283
54971236771,164355242867
54971236771,332085313573553
54971236771,583316525026417
54971236771,519024461482574
54971236771,131376260352637
54971236771,343098042393044
54971236771,161692063946619
54971236771,133170063414878
54971236771,108331485963099
54971236771,227576127339868
54971236771,173138816082240
54971236771,335587379833828
54971236771,220001241399130
54971236771,247461518687871
54971236771,150102578365954
54971236771,104993236239824
54971236771,120550918010950
54971236771,79119377085
54971236771,227955123975096
54971236771,120100478009378
54971236771,261752633874146
54971236771,202876413112285
54971236771,191575794205863
54971236771,119164799807
54971236771,148497274119
54971236771,395013845897
54971236771,115589531820707
54971236771,134512156591701
54971236771,374623305761
54971236771,382651265048
54971236771,92273036483
54971236771,125275167524338
54971236771,267875289901288
54971236771,86505458090
54971236771,234624980942
54971236771,133468870046835
54971236771,125925117441499
54971236771,338122981393
54971236771,33527980284
54971236771,118107518236480
54971236771,154478180006
54971236771,25618454345
54971236771,118399218208571
54971236771,8261258923
54971236771,290094756726
54971236771,171829429505534
54971236771,57242657138
54971236771,106757492152
54971236771,122098681161930
54971236771,110938085622842
54971236771,36786020343
54971236771,168170833215856
54971236771,132487270122267
54971236771,112998395413629
1724755084422910,191575794205863
631116826990989,338122981393
631116826990989,133468870046835
631116826990989,115589531820707
631116826990989,54971236771
631116826990989,234624980942
79209882917,132487270122267
79209882917,168170833215856
79209882917,36786020343
79209882917,106757492152
79209882917,118399218208571
79209882917,290094756726
79209882917,154478180006
79209882917,118107518236480
79209882917,133468870046835
79209882917,125275167524338
79209882917,92273036483
79209882917,374623305761
79209882917,134512156591701
79209882917,115589531820707
79209882917,148497274119
79209882917,120550918010950
79209882917,8261258923
79209882917,395013845897
79209882917,234624980942
79209882917,86505458090
79209882917,54971236771
79209882917,57242657138
79209882917,338122981393
79209882917,382651265048
79209882917,33527980284
79209882917,267875289901288
79209882917,171829429505534
79209882917,110938085622842
164355242867,118107518236480
164355242867,86505458090
164355242867,120550918010950
164355242867,54971236771
164355242867,8261258923
164355242867,79119377085
164355242867,110938085622842
164355242867,395013845897
332085313573553,382651265048
332085313573553,125275167524338
332085313573553,120550918010950
332085313573553,148497274119
332085313573553,108331485963099
332085313573553,92273036483
332085313573553,395013845897
332085313573553,8261258923
332085313573553,54971236771
332085313573553,118399218208571
583316525026417,54971236771
519024461482574,115589531820707
519024461482574,79119377085
519024461482574,168170833215856
519024461482574,338122981393
519024461482574,134512156591701
519024461482574,374623305761
519024461482574,191575794205863
519024461482574,133468870046835
519024461482574,395013845897
519024461482574,234624980942
519024461482574,267875289901288
519024461482574,8261258923
519024461482574,86505458090
519024461482574,132487270122267
519024461482574,54971236771
131376260352637,168170833215856
131376260352637,267875289901288
343098042393044,115589531820707
343098042393044,110938085622842
161692063946619,395013845897
161692063946619,131376260352637
161692063946619,168170833215856
161692063946619,247461518687871
161692063946619,110938085622842
161692063946619,8261258923
161692063946619,133468870046835
161692063946619,267875289901288
161692063946619,115589531820707
161692063946619,33527980284
161692063946619,148497274119
161692063946619,54971236771
161692063946619,234624980942
161692063946619,86505458090
161692063946619,338122981393
161692063946619,134512156591701
161692063946619,374623305761
133170063414878,261752633874146
133170063414878,118399218208571
133170063414878,86505458090
133170063414878,8261258923
133170063414878,132487270122267
133170063414878,134512156591701
133170063414878,148497274119
133170063414878,338122981393
133170063414878,133468870046835
133170063414878,267875289901288
133170063414878,374623305761
133170063414878,234624980942
133170063414878,115589531820707
133170063414878,168170833215856
133170063414878,119164799807
133170063414878,54971236771
133170063414878,382651265048
133170063414878,395013845897
227576127339868,54971236771
227576127339868,104993236239824
227576127339868,122098681161930
227576127339868,108331485963099
227576127339868,106757492152
227576127339868,120550918010950
227576127339868,92273036483
227576127339868,161692063946619
227576127339868,519024461482574
227576127339868,134512156591701
227576127339868,395013845897
227576127339868,133170063414878
227576127339868,247461518687871
227576127339868,335587379833828
227576127339868,33527980284
227576127339868,57242657138
227576127339868,168170833215856
227576127339868,112998395413629
227576127339868,79119377085
227576127339868,119164799807
227576127339868,382651265048
227576127339868,118107518236480
227576127339868,110938085622842
227576127339868,374623305761
227576127339868,148497274119
227576127339868,132487270122267
227576127339868,133468870046835
227576127339868,191575794205863
227576127339868,338122981393
227576127339868,125925117441499
227576127339868,8261258923
227576127339868,267875289901288
227576127339868,234624980942
227576127339868,115589531820707
227576127339868,86505458090
173138816082240,132487270122267
173138816082240,120100478009378
173138816082240,8261258923
173138816082240,374623305761
173138816082240,112998395413629
173138816082240,133468870046835
173138816082240,395013845897
173138816082240,104993236239824
173138816082240,57242657138
173138816082240,54971236771
220001241399130,120100478009378
220001241399130,267875289901288
220001241399130,54971236771
220001241399130,122098681161930
247461518687871,395013845897
150102578365954,33527980284
150102578365954,171829429505534
150102578365954,86505458090
150102578365954,338122981393
150102578365954,8261258923
150102578365954,395013845897
150102578365954,118107518236480
150102578365954,125275167524338
150102578365954,54971236771
104993236239824,335587379833828
104993236239824,112998395413629
104993236239824,202876413112285
104993236239824,79119377085
104993236239824,332085313573553
104993236239824,133170063414878
104993236239824,374623305761
104993236239824,220001241399130
104993236239824,247461518687871
104993236239824,108331485963099
104993236239824,134512156591701
104993236239824,119164799807
104993236239824,191575794205863
104993236239824,173138816082240
104993236239824,161692063946619
104993236239824,343098042393044
104993236239824,519024461482574
104993236239824,234624980942
104993236239824,227576127339868
104993236239824,148497274119
104993236239824,33527980284
104993236239824,171829429505534
104993236239824,267875289901288
104993236239824,168170833215856
104993236239824,86505458090
104993236239824,118107518236480
104993236239824,115589531820707
104993236239824,382651265048
104993236239824,8261258923
104993236239824,338122981393
104993236239824,54971236771
104993236239824,57242657138
104993236239824,395013845897
120550918010950,106757492152
120550918010950,164355242867
120550918010950,92273036483
120550918010950,79209882917
120550918010950,54971236771
120550918010950,8261258923
79119377085,332085313573553
79119377085,110938085622842
79119377085,8261258923
79119377085,54971236771
227955123975096,106757492152
227955123975096,110938085622842
227955123975096,122098681161930
227955123975096,120100478009378
227955123975096,168170833215856
227955123975096,132487270122267
227955123975096,125925117441499
227955123975096,148497274119
227955123975096,191575794205863
227955123975096,374623305761
227955123975096,33527980284
227955123975096,267875289901288
227955123975096,115589531820707
227955123975096,338122981393
227955123975096,395013845897
227955123975096,86505458090
227955123975096,202876413112285
227955123975096,54971236771
120100478009378,202876413112285
120100478009378,227955123975096
120100478009378,54971236771
120100478009378,122098681161930
261752633874146,112998395413629
261752633874146,132487270122267
261752633874146,168170833215856
261752633874146,122098681161930
261752633874146,110938085622842
261752633874146,106757492152
261752633874146,57242657138
261752633874146,171829429505534
261752633874146,290094756726
261752633874146,118399218208571
261752633874146,8261258923
261752633874146,154478180006
261752633874146,25618454345
261752633874146,118107518236480
261752633874146,133468870046835
261752633874146,86505458090
261752633874146,267875289901288
261752633874146,125275167524338
261752633874146,382651265048
261752633874146,134512156591701
261752633874146,374623305761
261752633874146,115589531820707
261752633874146,119164799807
261752633874146,202876413112285
261752633874146,191575794205863
261752633874146,227955123975096
261752633874146,120100478009378
261752633874146,79119377085
261752633874146,120550918010950
261752633874146,104993236239824
261752633874146,150102578365954
261752633874146,247461518687871
261752633874146,220001241399130
261752633874146,335587379833828
261752633874146,173138816082240
261752633874146,227576127339868
261752633874146,108331485963099
261752633874146,161692063946619
261752633874146,133170063414878
261752633874146,54971236771
261752633874146,234624980942
261752633874146,92273036483
261752633874146,148497274119
261752633874146,36786020343
261752633874146,125925117441499
261752633874146,33527980284
261752633874146,338122981393
202876413112285,108331485963099
202876413112285,79119377085
202876413112285,92273036483
202876413112285,132487270122267
202876413112285,168170833215856
202876413112285,110938085622842
202876413112285,122098681161930
202876413112285,8261258923
202876413112285,338122981393
202876413112285,133468870046835
202876413112285,234624980942
202876413112285,267875289901288
202876413112285,374623305761
202876413112285,134512156591701
202876413112285,115589531820707
202876413112285,395013845897
202876413112285,148497274119
202876413112285,120100478009378
202876413112285,227955123975096
202876413112285,247461518687871
202876413112285,220001241399130
202876413112285,161692063946619
202876413112285,79209882917
202876413112285,86505458090
202876413112285,54971236771
191575794205863,1724755084422910
191575794205863,112998395413629
191575794205863,374623305761
191575794205863,125925117441499
191575794205863,86505458090
191575794205863,119164799807
191575794205863,33527980284
191575794205863,395013845897
191575794205863,338122981393
191575794205863,267875289901288
191575794205863,115589531820707
191575794205863,234624980942
191575794205863,133468870046835
191575794205863,134512156591701
191575794205863,54971236771
119164799807,382651265048
119164799807,395013845897
119164799807,54971236771
148497274119,115589531820707
148497274119,374623305761
148497274119,54971236771
148497274119,395013845897
148497274119,234624980942
148497274119,33527980284
148497274119,154478180006
148497274119,25618454345
148497274119,57242657138
148497274119,36786020343
148497274119,8261258923
148497274119,86505458090
148497274119,267875289901288
395013845897,150102578365954
395013845897,267875289901288
395013845897,519024461482574
395013845897,132487270122267
395013845897,338122981393
395013845897,227576127339868
395013845897,134512156591701
395013845897,374623305761
395013845897,79119377085
395013845897,110938085622842
395013845897,36786020343
395013845897,8261258923
395013845897,92273036483
395013845897,33527980284
395013845897,382651265048
395013845897,112998395413629
395013845897,173138816082240
395013845897,191575794205863
395013845897,57242657138
395013845897,119164799807
395013845897,104993236239824
395013845897,54971236771
395013845897,168170833215856
395013845897,118107518236480
395013845897,115589531820707
395013845897,120100478009378
115589531820707,395013845897
115589531820707,374623305761
115589531820707,343098042393044
115589531820707,118399218208571
115589531820707,338122981393
115589531820707,132487270122267
115589531820707,134512156591701
115589531820707,191575794205863
115589531820707,133468870046835
115589531820707,234624980942
115589531820707,54971236771
115589531820707,8261258923
115589531820707,86505458090
115589531820707,267875289901288
134512156591701,338122981393
134512156591701,133468870046835
134512156591701,234624980942
134512156591701,115589531820707
134512156591701,148497274119
134512156591701,191575794205863
134512156591701,395013845897
134512156591701,267875289901288
134512156591701,374623305761
134512156591701,54971236771
134512156591701,86505458090
374623305761,133468870046835
374623305761,148497274119
374623305761,106757492152
374623305761,150102578365954
374623305761,261752633874146
374623305761,118107518236480
374623305761,112998395413629
374623305761,583316525026417
374623305761,382651265048
374623305761,335587379833828
374623305761,79209882917
374623305761,191575794205863
374623305761,57242657138
374623305761,164355242867
374623305761,519024461482574
374623305761,168170833215856
374623305761,227576127339868
374623305761,161692063946619
374623305761,247461518687871
374623305761,267875289901288
374623305761,234624980942
374623305761,338122981393
374623305761,395013845897
374623305761,115589531820707
374623305761,8261258923
